id,prompt,A,B,C,D,E,answer
4893,What is the current best known value for the mass of Jupiter?,1.89813 × 10^27 kg,9.547919 × 10^-4 M☉,3.1782838 × 10^2 M⊕,1.068 solar radii,318 times as massive as Earth,A
4894,Which architecture is primarily used in smartphones and tablet computers?,x86,ARM,Xeon Phi,Coffee Lake,Kaby Lake,B
4895,What type of data does CreditorWatch aggregate from various sources?,Personal information provided by users,Financial data from banks,Adverse data from CreditorWatch users,Credit ratings from international agencies,Court judgments from criminal cases,C
4896,What is the main purpose of the Greenhouse Gases Observing Satellite (GOSAT)?,Monitoring carbon dioxide and methane levels in the Earth's atmosphere,Tracking the greenhouse effect on the Earth,Observing cloud and aerosol formations in the atmosphere,Measuring the density of various greenhouse gases worldwide,Collecting data on global climate change,A
4897,What does Cloud-Based Design and Manufacturing (CBDM) refer to?,A service-oriented networked product development model,A manufacturing system that utilizes cloud computing,A cloud-based file storage system for design and manufacturing,A social collaboration platform for design and manufacturing,A pricing model for design and manufacturing services,A
4898,"What does the term ""bespoke"" originally mean?",To tailor-make,To order goods,To market and brand exclusivity,To commission to a particular specification,To engage beforehand,B
4899,What is the purpose of a pressure sewer?,To facilitate the discharge of sewage from properties into a gravity sewer,To provide an alternative method of sewage treatment,To prevent contamination of local ground water,To enable properties below the nearest gravity main to connect to the sewerage system,To reduce the cost of installation and maintenance of sewers,D
4900,What does the residue-to-product ratio (RPR) measure in climate engineering?,The mass of residue divided by the mass of crop produced,The cost and benefits of bio-energy projects,The production of biochar from crop residues,The financial sustainability of bio-energy projects,The residual moisture content in crop residues,A
4901,Who was the National Science Advisor to the prime minister from 2004 to 2008?,Dr. Arthur Carty,Jean Chrétien,Dr. Carty,Privy Council Office,National Research Council,A
4902,What is the modern definition of synteny in genetics?,The physical co-localization of genetic loci on the same chromosome within an individual or species,The conservation of blocks of order within two sets of chromosomes that are being compared,The comparison of the general structures of genomes of different species,The possession of common chromosome sequences,The study of how the genome is cut and pasted in the course of evolution,D
4903,Which family does Trichoderma hamatum belong to?,Hypocreaceae,Sclerotinia,Lettuce,Wikimedia Commons,Wikispecies,A
4904,What is the bipartite double cover of an odd-length cycle graph?,A cycle of twice the length,A complete bipartite graph,A Desargues graph,A crown graph,A perfect matching,A
4905,What is a field-replaceable unit (FRU)?,A component that can be quickly removed and replaced by the user or a technician without sending the entire product for repair,A type of computer module that contains discrete transistors and passive components,A storage device that includes backup copies of critical system information,A shop-replaceable unit (SRU) used in military aviation,A printed circuit board used in vacuum tube computers,A
4906,Who is the Earle K. Plyler Prize for Molecular Spectroscopy and Dynamics named after?,Alexander Graham Bell,Thomas Edison,Earle K. Plyler,Marie Curie,Albert Einstein,C
4907,When was the first volume of the Flora Europaea published?,1964,1968,1972,1976,1980,A
4908,What is a truth predicate based on in formal theories of truth?,The sentences of a formal language as interpreted logically,The concept of countable sets of symbols,The Chomsky Definition of language,The Pluralist theory of truth,The concept of fully interpreted languages,A
4909,Who discovered the Sudan function?,David Hilbert,Gabriel Sudan,Ackermann,A Romanian mathematician,None of the above,B
4910,Which firearms were used as the basis for designing the FBM assault rifle?,IMI Galil and Stoner 63,AK47 and Stoner 63,M16 and AK47,IMI Galil and M16,Stoner 63 and M16,A
4911,Which country did the Kader Toy Factory fire occur in?,Thailand,United States,Hong Kong,Taiwan,Nakhon Pathom Province,A
4912,What is a term algebra?,A freely generated algebraic structure over a given signature,A category theory perspective on algebras,A set of ground terms in logic programming,A concrete model of an abstract data type declaration,A synonym for a Herbrand universe,A
4913,What is the maximin value?,The highest value that the player can be sure to get without knowing the actions of the other players,The lowest value the other players can force the player to receive when they know the player's action,The average value that the player is expected to receive in a worst-case scenario,The maximum value that the player can achieve by taking into account the actions of the other players,The minimum value that the player can achieve regardless of the actions of the other players,A
4914,When did Stover Engine Works begin creating prototype gasoline engines?,1895,1898,1904,1906,1920s,A
4915,Who started Stover Engine Works?,D.C. Stover,Unknown,John Smith,"Freeport, Illinois","21,600",A
4916,When was one of the basic engines of Stover Engine Works finalized?,1895,1898,1904,1906,1920s,C
4917,When did the use of the engine version of Stover Engine Works last until?,1895,1898,1904,1906,1920s,E
4918,When did the business of Stover Engine Works require a larger building?,1895,1898,1904,1906,1920s,D
4919,"What is the meaning of the term ""Bijaganita""?",Mathematics using seeds,Mathematics using algorithms,Mathematics using equations,Mathematics using plants,Mathematics using indeterminate questions,A
4920,What is the term used when the vapor compression evaporation process is performed by a mechanically driven compressor or blower?,MVR,VCD,Thermocompression,Steam compression,Ejectocompression,A
